experiment,dataset,kernel,C,gamma,degree,test_accuracy,training_time_ms,n_support_vectors
MNIST_SVM_rbf_C10_gammaauto,MNIST,rbf,10.0,auto,,97.28,261179.59332466125,14114
MNIST_SVM_rbf_C10_gamma0.001,MNIST,rbf,10.0,0.001,,97.18,225985.43572425842,13104
MNIST_SVM_rbf_C10_gamma0.01,MNIST,rbf,10.0,0.01,,86.27,1995558.8467121124,36931
FashionMNIST_SVM_poly_C0.1_gammascale_deg2,FashionMNIST,poly,0.1,scale,2.0,84.42,547342.741727829,29756
FashionMNIST_SVM_poly_C0.1_gammascale_deg3,FashionMNIST,poly,0.1,scale,3.0,82.03,642018.9790725708,30997
FashionMNIST_SVM_poly_C0.1_gammascale_deg4,FashionMNIST,poly,0.1,scale,4.0,75.64999999999999,925177.072763443,34412
FashionMNIST_SVM_poly_C0.1_gammaauto_deg2,FashionMNIST,poly,0.1,auto,2.0,84.42,548140.1207447052,29756
FashionMNIST_SVM_poly_C0.1_gammaauto_deg3,FashionMNIST,poly,0.1,auto,3.0,82.03,642327.6731967926,30997
FashionMNIST_SVM_poly_C0.1_gammaauto_deg4,FashionMNIST,poly,0.1,auto,4.0,75.64999999999999,918118.1259155273,34412
FashionMNIST_SVM_poly_C0.1_gamma0.001_deg2,FashionMNIST,poly,0.1,0.001,2.0,82.62,647273.8144397736,32153
FashionMNIST_SVM_poly_C0.1_gamma0.001_deg3,FashionMNIST,poly,0.1,0.001,3.0,78.36,821736.5458011627,34662
FashionMNIST_SVM_poly_C0.1_gamma0.001_deg4,FashionMNIST,poly,0.1,0.001,4.0,69.69,1230680.9437274933,39501
FashionMNIST_SVM_poly_C0.1_gamma0.01_deg2,FashionMNIST,poly,0.1,0.01,2.0,90.07,250089.68496322632,19414
FashionMNIST_SVM_poly_C0.1_gamma0.01_deg3,FashionMNIST,poly,0.1,0.01,3.0,90.29,274542.41013526917,20072
FashionMNIST_SVM_poly_C0.1_gamma0.01_deg4,FashionMNIST,poly,0.1,0.01,4.0,89.67,343277.8182029724,21120
FashionMNIST_SVM_poly_C1_gammascale_deg2,FashionMNIST,poly,1.0,scale,2.0,88.88000000000001,303085.04366874695,21926
FashionMNIST_SVM_poly_C1_gammascale_deg3,FashionMNIST,poly,1.0,scale,3.0,88.49000000000001,346659.8811149597,22940
FashionMNIST_SVM_poly_C1_gammascale_deg4,FashionMNIST,poly,1.0,scale,4.0,85.67,500918.9143180847,25479
FashionMNIST_SVM_poly_C1_gammaauto_deg2,FashionMNIST,poly,1.0,auto,2.0,88.88000000000001,304159.4805717468,21926
FashionMNIST_SVM_poly_C1_gammaauto_deg3,FashionMNIST,poly,1.0,auto,3.0,88.49000000000001,349759.87219810486,22940
FashionMNIST_SVM_poly_C1_gammaauto_deg4,FashionMNIST,poly,1.0,auto,4.0,85.68,504498.03280830383,25479
FashionMNIST_SVM_poly_C1_gamma0.001_deg2,FashionMNIST,poly,1.0,0.001,2.0,88.4,335970.3109264374,23130
FashionMNIST_SVM_poly_C1_gamma0.001_deg3,FashionMNIST,poly,1.0,0.001,3.0,86.99,413641.0081386566,24807
FashionMNIST_SVM_poly_C1_gamma0.001_deg4,FashionMNIST,poly,1.0,0.001,4.0,82.22,641515.7959461212,28660
FashionMNIST_SVM_poly_C1_gamma0.01_deg2,FashionMNIST,poly,1.0,0.01,2.0,89.68,253785.1767539978,18917
FashionMNIST_SVM_poly_C1_gamma0.01_deg3,FashionMNIST,poly,1.0,0.01,3.0,89.98,279279.99353408813,20071
FashionMNIST_SVM_poly_C1_gamma0.01_deg4,FashionMNIST,poly,1.0,0.01,4.0,89.71000000000001,348479.5832633972,21070
