experiment,dataset,pca_components,variance_retained,kernel,C,gamma,degree,test_accuracy,training_time_ms,n_support_vectors
MNIST_PCA50_rbf_C1_gauto,MNIST,50,55.07012,rbf,1.0,auto,,91.17,224544.53945159912,30555
MNIST_PCA50_rbf_C1_g0.001,MNIST,50,55.07012,rbf,1.0,0.001,,96.05,25033.629417419434,13410
MNIST_PCA50_rbf_C1_g0.01,MNIST,50,55.07012,rbf,1.0,0.01,,95.95,93869.98009681702,19580
MNIST_PCA50_rbf_C10_gscale,MNIST,50,55.07012,rbf,10.0,scale,,97.54,30589.831352233887,9732
MNIST_PCA50_rbf_C10_gauto,MNIST,50,55.07012,rbf,10.0,auto,,91.57,236437.92605400085,30847
MNIST_PCA50_rbf_C10_g0.001,MNIST,50,55.07012,rbf,10.0,0.001,,97.36,19828.105449676514,8663
MNIST_PCA50_rbf_C10_g0.01,MNIST,50,55.07012,rbf,10.0,0.01,,96.22,97864.81070518494,19688
MNIST_PCA100_poly_C0.1_gscale_d2,MNIST,100,70.32647,poly,0.1,scale,2.0,95.03,85799.01719093323,25496
MNIST_PCA100_poly_C0.1_gscale_d3,MNIST,100,70.32647,poly,0.1,scale,3.0,91.95,152193.54367256165,31154
MNIST_PCA100_poly_C0.1_gscale_d4,MNIST,100,70.32647,poly,0.1,scale,4.0,79.36999999999999,248693.49122047424,39629
MNIST_PCA100_poly_C0.1_gauto_d2,MNIST,100,70.32647,poly,0.1,auto,2.0,97.53,27692.447185516357,10901
MNIST_PCA100_poly_C0.1_gauto_d3,MNIST,100,70.32647,poly,0.1,auto,3.0,97.7,27083.934783935547,10426
MNIST_PCA100_poly_C0.1_gauto_d4,MNIST,100,70.32647,poly,0.1,auto,4.0,96.89,41145.12634277344,11772
MNIST_PCA100_poly_C0.1_g0.001_d2,MNIST,100,70.32647,poly,0.1,0.001,2.0,91.24,188339.2550945282,37013
MNIST_PCA100_poly_C0.1_g0.001_d3,MNIST,100,70.32647,poly,0.1,0.001,3.0,72.16,309741.2819862366,48796
MNIST_PCA100_poly_C0.1_g0.001_d4,MNIST,100,70.32647,poly,0.1,0.001,4.0,29.909999999999997,413098.00028800964,53858
MNIST_PCA100_poly_C0.1_g0.01_d2,MNIST,100,70.32647,poly,0.1,0.01,2.0,97.53,21412.554025650024,10901
MNIST_PCA100_poly_C0.1_g0.01_d3,MNIST,100,70.32647,poly,0.1,0.01,3.0,97.7,27175.732374191284,10426
MNIST_PCA100_poly_C0.1_g0.01_d4,MNIST,100,70.32647,poly,0.1,0.01,4.0,96.89,36533.03670883179,11772
MNIST_PCA100_poly_C1_gscale_d2,MNIST,100,70.32647,poly,1.0,scale,2.0,97.2,32641.86954498291,13408
MNIST_PCA100_poly_C1_gscale_d3,MNIST,100,70.32647,poly,1.0,scale,3.0,96.66,50738.74521255493,16319
MNIST_PCA100_poly_C1_gscale_d4,MNIST,100,70.32647,poly,1.0,scale,4.0,93.25,97194.38815116882,22623
MNIST_PCA100_poly_C1_gauto_d2,MNIST,100,70.32647,poly,1.0,auto,2.0,97.46000000000001,18492.682695388794,8359
