experiment,dataset,pca_components,variance_retained,kernel,C,gamma,degree,test_accuracy,training_time_ms,n_support_vectors
FashionMNIST_PCA100_poly_C0.1_gauto_d4,FashionMNIST,100,87.08163,poly,0.1,auto,4.0,87.75,67641.16191864014,17086
FashionMNIST_PCA100_poly_C0.1_g0.001_d2,FashionMNIST,100,87.08163,poly,0.1,0.001,2.0,81.34,144524.86658096313,32484
FashionMNIST_PCA100_poly_C0.1_g0.001_d3,FashionMNIST,100,87.08163,poly,0.1,0.001,3.0,76.94,129577.8534412384,34962
FashionMNIST_PCA100_poly_C0.1_g0.001_d4,FashionMNIST,100,87.08163,poly,0.1,0.001,4.0,68.67999999999999,192517.34018325806,39746
FashionMNIST_PCA100_poly_C0.1_g0.01_d2,FashionMNIST,100,87.08163,poly,0.1,0.01,2.0,88.42999999999999,36790.785789489746,18194
FashionMNIST_PCA100_poly_C0.1_g0.01_d3,FashionMNIST,100,87.08163,poly,0.1,0.01,3.0,89.14999999999999,41102.5927066803,16782
FashionMNIST_PCA100_poly_C0.1_g0.01_d4,FashionMNIST,100,87.08163,poly,0.1,0.01,4.0,87.75,52040.223598480225,17086
FashionMNIST_PCA100_poly_C1_gscale_d2,FashionMNIST,100,87.08163,poly,1.0,scale,2.0,87.11,44335.16240119934,21209
FashionMNIST_PCA100_poly_C1_gscale_d3,FashionMNIST,100,87.08163,poly,1.0,scale,3.0,86.91,47387.75706291199,21664
FashionMNIST_PCA100_poly_C1_gscale_d4,FashionMNIST,100,87.08163,poly,1.0,scale,4.0,85.09,66825.91366767883,23503
FashionMNIST_PCA100_poly_C1_gauto_d2,FashionMNIST,100,87.08163,poly,1.0,auto,2.0,89.01,43828.89676094055,15921
FashionMNIST_PCA100_poly_C1_gauto_d3,FashionMNIST,100,87.08163,poly,1.0,auto,3.0,87.92999999999999,59060.95099449158,16036
FashionMNIST_PCA100_poly_C1_gauto_d4,FashionMNIST,100,87.08163,poly,1.0,auto,4.0,87.47,55692.795753479004,16815
FashionMNIST_PCA100_poly_C1_g0.001_d2,FashionMNIST,100,87.08163,poly,1.0,0.001,2.0,86.18,50751.76692008972,23234
FashionMNIST_PCA100_poly_C1_g0.001_d3,FashionMNIST,100,87.08163,poly,1.0,0.001,3.0,85.19,61089.15448188782,24957
FashionMNIST_PCA100_poly_C1_g0.001_d4,FashionMNIST,100,87.08163,poly,1.0,0.001,4.0,80.60000000000001,88411.5092754364,28804
FashionMNIST_PCA100_poly_C1_g0.01_d2,FashionMNIST,100,87.08163,poly,1.0,0.01,2.0,89.01,42870.731353759766,15921
FashionMNIST_PCA100_poly_C1_g0.01_d3,FashionMNIST,100,87.08163,poly,1.0,0.01,3.0,87.92999999999999,57920.530796051025,16036
FashionMNIST_PCA100_poly_C1_g0.01_d4,FashionMNIST,100,87.08163,poly,1.0,0.01,4.0,87.47,51055.734395980835,16815
FashionMNIST_PCA100_poly_C10_gscale_d2,FashionMNIST,100,87.08163,poly,10.0,scale,2.0,88.74,34670.93896865845,17184
FashionMNIST_PCA100_poly_C10_gscale_d3,FashionMNIST,100,87.08163,poly,10.0,scale,3.0,88.88000000000001,39042.444705963135,17634
FashionMNIST_PCA100_poly_C10_gscale_d4,FashionMNIST,100,87.08163,poly,10.0,scale,4.0,87.92,46493.54004859924,18921
FashionMNIST_PCA100_poly_C10_gauto_d2,FashionMNIST,100,87.08163,poly,10.0,auto,2.0,88.14999999999999,93578.94587516785,14744
FashionMNIST_PCA100_poly_C10_gauto_d3,FashionMNIST,100,87.08163,poly,10.0,auto,3.0,87.27000000000001,72716.07065200806,15751
FashionMNIST_PCA100_poly_C10_gauto_d4,FashionMNIST,100,87.08163,poly,10.0,auto,4.0,87.45,74128.25655937195,16805
FashionMNIST_PCA100_poly_C10_g0.001_d2,FashionMNIST,100,87.08163,poly,10.0,0.001,2.0,88.42999999999999,49402.0779132843,18196
FashionMNIST_PCA100_poly_C10_g0.001_d3,FashionMNIST,100,87.08163,poly,10.0,0.001,3.0,88.0,36005.47289848328,19284
FashionMNIST_PCA100_poly_C10_g0.001_d4,FashionMNIST,100,87.08163,poly,10.0,0.001,4.0,86.56,53720.277070999146,21512
FashionMNIST_PCA100_poly_C10_g0.01_d2,FashionMNIST,100,87.08163,poly,10.0,0.01,2.0,88.14999999999999,93512.2447013855,14744
FashionMNIST_PCA100_poly_C10_g0.01_d3,FashionMNIST,100,87.08163,poly,10.0,0.01,3.0,87.27000000000001,67465.7289981842,15751
FashionMNIST_PCA100_poly_C10_g0.01_d4,FashionMNIST,100,87.08163,poly,10.0,0.01,4.0,87.45,56090.27433395386,16805
FashionMNIST_PCA100_rbf_C0.1_gscale,FashionMNIST,100,87.08163,rbf,0.1,scale,,84.33,120312.07346916199,27409
FashionMNIST_PCA100_rbf_C0.1_gauto,FashionMNIST,100,87.08163,rbf,0.1,auto,,77.60000000000001,258616.5096759796,35873
FashionMNIST_PCA100_rbf_C0.1_g0.001,FashionMNIST,100,87.08163,rbf,0.1,0.001,,83.76,94786.7386341095,28093
FashionMNIST_PCA100_rbf_C0.1_g0.01,FashionMNIST,100,87.08163,rbf,0.1,0.01,,77.60000000000001,226250.53143501282,35873
FashionMNIST_PCA100_rbf_C1_gscale,FashionMNIST,100,87.08163,rbf,1.0,scale,,87.92999999999999,59025.118827819824,20694
FashionMNIST_PCA100_rbf_C1_gauto,FashionMNIST,100,87.08163,rbf,1.0,auto,,85.83,184834.9645137787,29681
FashionMNIST_PCA100_rbf_C1_g0.001,FashionMNIST,100,87.08163,rbf,1.0,0.001,,87.37,54517.36521720886,21015
FashionMNIST_PCA100_rbf_C1_g0.01,FashionMNIST,100,87.08163,rbf,1.0,0.01,,85.83,185585.51168441772,29681
FashionMNIST_PCA100_rbf_C10_gscale,FashionMNIST,100,87.08163,rbf,10.0,scale,,89.31,51785.66336631775,17989
FashionMNIST_PCA100_rbf_C10_gauto,FashionMNIST,100,87.08163,rbf,10.0,auto,,86.22999999999999,180928.73883247375,30945
FashionMNIST_PCA100_rbf_C10_g0.001,FashionMNIST,100,87.08163,rbf,10.0,0.001,,89.16,45817.95334815979,17704
FashionMNIST_PCA100_rbf_C10_g0.01,FashionMNIST,100,87.08163,rbf,10.0,0.01,,86.22999999999999,221164.69812393188,30945
FashionMNIST_PCA150_poly_C0.1_gscale_d2,FashionMNIST,150,90.77534,poly,0.1,scale,2.0,83.78999999999999,141665.3847694397,28944
FashionMNIST_PCA150_poly_C0.1_gscale_d3,FashionMNIST,150,90.77534,poly,0.1,scale,3.0,81.86,156681.49065971375,29787
FashionMNIST_PCA150_poly_C0.1_gscale_d4,FashionMNIST,150,90.77534,poly,0.1,scale,4.0,76.63,265058.3884716034,32633
FashionMNIST_PCA150_poly_C0.1_gauto_d2,FashionMNIST,150,90.77534,poly,0.1,auto,2.0,88.44,62341.02368354797,19350
FashionMNIST_PCA150_poly_C0.1_gauto_d3,FashionMNIST,150,90.77534,poly,0.1,auto,3.0,89.07000000000001,53544.40498352051,17761
FashionMNIST_PCA150_poly_C0.1_gauto_d4,FashionMNIST,150,90.77534,poly,0.1,auto,4.0,88.53999999999999,65150.37822723389,18126
FashionMNIST_PCA150_poly_C0.1_g0.001_d2,FashionMNIST,150,90.77534,poly,0.1,0.001,2.0,81.8,163873.7874031067,32285
FashionMNIST_PCA150_poly_C0.1_g0.001_d3,FashionMNIST,150,90.77534,poly,0.1,0.001,3.0,77.28,181654.30855751038,34768
FashionMNIST_PCA150_poly_C0.1_g0.001_d4,FashionMNIST,150,90.77534,poly,0.1,0.001,4.0,68.97,305834.03396606445,39581
FashionMNIST_PCA150_poly_C0.1_g0.01_d2,FashionMNIST,150,90.77534,poly,0.1,0.01,2.0,88.64999999999999,60977.65779495239,18009
FashionMNIST_PCA150_poly_C0.1_g0.01_d3,FashionMNIST,150,90.77534,poly,0.1,0.01,3.0,89.19,50269.6738243103,17087
FashionMNIST_PCA150_poly_C0.1_g0.01_d4,FashionMNIST,150,90.77534,poly,0.1,0.01,4.0,88.32,70180.08923530579,17860
FashionMNIST_PCA150_poly_C1_gscale_d2,FashionMNIST,150,90.77534,poly,1.0,scale,2.0,87.76,73845.47686576843,21100
FashionMNIST_PCA150_poly_C1_gscale_d3,FashionMNIST,150,90.77534,poly,1.0,scale,3.0,87.45,70545.74298858643,21691
FashionMNIST_PCA150_poly_C1_gscale_d4,FashionMNIST,150,90.77534,poly,1.0,scale,4.0,85.42,112369.68159675598,23750
FashionMNIST_PCA150_poly_C1_gauto_d2,FashionMNIST,150,90.77534,poly,1.0,auto,2.0,88.89,60298.31767082214,16497
FashionMNIST_PCA150_poly_C1_gauto_d3,FashionMNIST,150,90.77534,poly,1.0,auto,3.0,88.9,59724.17855262756,16798
FashionMNIST_PCA150_poly_C1_gauto_d4,FashionMNIST,150,90.77534,poly,1.0,auto,4.0,88.28,76110.69560050964,17786
FashionMNIST_PCA150_poly_C1_g0.001_d2,FashionMNIST,150,90.77534,poly,1.0,0.001,2.0,86.91,108536.24677658081,22967
FashionMNIST_PCA150_poly_C1_g0.001_d3,FashionMNIST,150,90.77534,poly,1.0,0.001,3.0,85.8,132381.9966316223,24725
FashionMNIST_PCA150_poly_C1_g0.001_d4,FashionMNIST,150,90.77534,poly,1.0,0.001,4.0,80.85,195988.28744888306,28519
FashionMNIST_PCA150_poly_C1_g0.01_d2,FashionMNIST,150,90.77534,poly,1.0,0.01,2.0,89.08,82362.2419834137,15935
FashionMNIST_PCA150_poly_C1_g0.01_d3,FashionMNIST,150,90.77534,poly,1.0,0.01,3.0,88.42,90925.28414726257,16738
FashionMNIST_PCA150_poly_C1_g0.01_d4,FashionMNIST,150,90.77534,poly,1.0,0.01,4.0,87.91,97141.84474945068,17750
FashionMNIST_PCA150_poly_C10_gscale_d2,FashionMNIST,150,90.77534,poly,10.0,scale,2.0,88.97,48082.995891571045,17185
FashionMNIST_PCA150_poly_C10_gscale_d3,FashionMNIST,150,90.77534,poly,10.0,scale,3.0,89.07000000000001,54155.38501739502,17816
FashionMNIST_PCA150_poly_C10_gscale_d4,FashionMNIST,150,90.77534,poly,10.0,scale,4.0,88.24,68171.51808738708,19277
FashionMNIST_PCA150_poly_C10_gauto_d2,FashionMNIST,150,90.77534,poly,10.0,auto,2.0,88.42,72076.96151733398,15529
FashionMNIST_PCA150_poly_C10_gauto_d3,FashionMNIST,150,90.77534,poly,10.0,auto,3.0,88.37,65580.90353012085,16645
FashionMNIST_PCA150_poly_C10_gauto_d4,FashionMNIST,150,90.77534,poly,10.0,auto,4.0,87.9,64392.71521568298,17749
FashionMNIST_PCA150_poly_C10_g0.001_d2,FashionMNIST,150,90.77534,poly,10.0,0.001,2.0,88.64999999999999,45309.1254234314,18010
FashionMNIST_PCA150_poly_C10_g0.001_d3,FashionMNIST,150,90.77534,poly,10.0,0.001,3.0,88.53,55507.50160217285,19079
FashionMNIST_PCA150_poly_C10_g0.001_d4,FashionMNIST,150,90.77534,poly,10.0,0.001,4.0,87.06,77577.96549797058,21429
FashionMNIST_PCA150_poly_C10_g0.01_d2,FashionMNIST,150,90.77534,poly,10.0,0.01,2.0,88.25,89461.68851852417,15262
FashionMNIST_PCA150_poly_C10_g0.01_d3,FashionMNIST,150,90.77534,poly,10.0,0.01,3.0,88.16000000000001,71618.46041679382,16601
FashionMNIST_PCA150_poly_C10_g0.01_d4,FashionMNIST,150,90.77534,poly,10.0,0.01,4.0,87.88,75249.54748153687,17745
FashionMNIST_PCA150_rbf_C0.1_gscale,FashionMNIST,150,90.77534,rbf,0.1,scale,,84.77,142634.0081691742,27559
FashionMNIST_PCA150_rbf_C0.1_gauto,FashionMNIST,150,90.77534,rbf,0.1,auto,,80.71000000000001,246843.10340881348,33139
FashionMNIST_PCA150_rbf_C0.1_g0.001,FashionMNIST,150,90.77534,rbf,0.1,0.001,,84.17999999999999,146935.17065048218,28115
FashionMNIST_PCA150_rbf_C0.1_g0.01,FashionMNIST,150,90.77534,rbf,0.1,0.01,,75.22,485760.36763191223,38261
FashionMNIST_PCA150_rbf_C1_gscale,FashionMNIST,150,90.77534,rbf,1.0,scale,,88.25,92985.66365242004,20643
FashionMNIST_PCA150_rbf_C1_gauto,FashionMNIST,150,90.77534,rbf,1.0,auto,,87.28,220570.03140449524,27246
FashionMNIST_PCA150_rbf_C1_g0.001,FashionMNIST,150,90.77534,rbf,1.0,0.001,,87.87,83509.64832305908,20840
FashionMNIST_PCA150_rbf_C1_g0.01,FashionMNIST,150,90.77534,rbf,1.0,0.01,,84.96000000000001,306537.4987125397,31946
FashionMNIST_PCA150_rbf_C10_gscale,FashionMNIST,150,90.77534,rbf,10.0,scale,,89.77000000000001,77164.30282592773,18244
FashionMNIST_PCA150_rbf_C10_gauto,FashionMNIST,150,90.77534,rbf,10.0,auto,,87.99,211864.81928825378,28397
FashionMNIST_PCA150_rbf_C10_g0.001,FashionMNIST,150,90.77534,rbf,10.0,0.001,,89.51,54083.839654922485,17760
FashionMNIST_PCA150_rbf_C10_g0.01,FashionMNIST,150,90.77534,rbf,10.0,0.01,,85.5,320593.1804180145,33438
