experiment,dataset,model,batch_size,optimizer,learning_rate,pin_memory,epochs,test_acc,best_val_acc,final_train_acc,training_time_sec
MNIST_ResNet-18_BS32_Adam_LR0.0001_PMFalse_EP5,MNIST,ResNet-18,32,Adam,0.0001,False,5,99.22142857142858,99.25714285714285,98.97142857142858,217.7536473274231
MNIST_ResNet-18_BS32_Adam_LR0.0001_PMTrue_EP2,MNIST,ResNet-18,32,Adam,0.0001,True,2,98.57142857142857,98.75714285714285,98.42448979591836,70.76237535476685
MNIST_ResNet-18_BS32_Adam_LR0.0001_PMTrue_EP5,MNIST,ResNet-18,32,Adam,0.0001,True,5,99.07857142857142,99.18571428571428,98.92857142857143,168.65476894378662
MNIST_ResNet-50_BS16_SGD_LR0.001_PMFalse_EP2,MNIST,ResNet-50,16,SGD,0.001,False,2,98.65714285714286,98.65714285714286,97.31224489795919,210.78447890281677
MNIST_ResNet-50_BS16_SGD_LR0.001_PMFalse_EP5,MNIST,ResNet-50,16,SGD,0.001,False,5,99.12857142857143,99.2,98.75714285714285,511.96532464027405
MNIST_ResNet-50_BS16_SGD_LR0.001_PMTrue_EP2,MNIST,ResNet-50,16,SGD,0.001,True,2,98.86428571428571,98.97142857142858,97.31632653061224,186.77448797225952
MNIST_ResNet-50_BS16_SGD_LR0.001_PMTrue_EP5,MNIST,ResNet-50,16,SGD,0.001,True,5,98.95714285714286,98.97142857142858,98.7734693877551,454.70297956466675
MNIST_ResNet-50_BS16_SGD_LR0.0001_PMFalse_EP2,MNIST,ResNet-50,16,SGD,0.0001,False,2,89.46428571428571,90.08571428571429,72.52448979591837,211.57850623130798
MNIST_ResNet-50_BS16_SGD_LR0.0001_PMFalse_EP5,MNIST,ResNet-50,16,SGD,0.0001,False,5,97.47857142857143,97.8,95.21224489795918,510.2117941379547
MNIST_ResNet-50_BS16_SGD_LR0.0001_PMTrue_EP2,MNIST,ResNet-50,16,SGD,0.0001,True,2,88.52857142857142,89.21428571428571,75.49795918367347,187.48906803131104
MNIST_ResNet-50_BS16_SGD_LR0.0001_PMTrue_EP5,MNIST,ResNet-50,16,SGD,0.0001,True,5,97.11428571428571,97.44285714285714,94.93265306122449,458.13474321365356
MNIST_ResNet-50_BS16_Adam_LR0.001_PMFalse_EP2,MNIST,ResNet-50,16,Adam,0.001,False,2,95.55714285714286,95.88571428571429,95.56938775510204,221.4378638267517
MNIST_ResNet-50_BS16_Adam_LR0.001_PMFalse_EP5,MNIST,ResNet-50,16,Adam,0.001,False,5,98.55,98.62857142857143,97.9673469387755,541.2142238616943
MNIST_ResNet-50_BS16_Adam_LR0.001_PMTrue_EP2,MNIST,ResNet-50,16,Adam,0.001,True,2,96.49285714285715,96.52857142857142,95.49795918367347,198.80303311347961
MNIST_ResNet-50_BS16_Adam_LR0.001_PMTrue_EP5,MNIST,ResNet-50,16,Adam,0.001,True,5,98.54285714285714,98.58571428571429,97.93673469387755,484.6279275417328
MNIST_ResNet-50_BS16_Adam_LR0.0001_PMFalse_EP2,MNIST,ResNet-50,16,Adam,0.0001,False,2,98.40714285714286,98.75714285714285,97.83469387755102,223.88984632492065
MNIST_ResNet-50_BS16_Adam_LR0.0001_PMFalse_EP5,MNIST,ResNet-50,16,Adam,0.0001,False,5,98.92857142857143,99.02857142857142,98.53061224489795,541.5316417217255
MNIST_ResNet-50_BS16_Adam_LR0.0001_PMTrue_EP2,MNIST,ResNet-50,16,Adam,0.0001,True,2,98.33571428571429,98.68571428571428,97.77755102040817,200.59498476982117
MNIST_ResNet-50_BS16_Adam_LR0.0001_PMTrue_EP5,MNIST,ResNet-50,16,Adam,0.0001,True,5,98.53571428571429,98.91428571428571,98.5469387755102,485.3932042121887
MNIST_ResNet-50_BS32_SGD_LR0.001_PMFalse_EP2,MNIST,ResNet-50,32,SGD,0.001,False,2,98.32142857142857,98.02857142857142,96.63673469387756,174.34422612190247
MNIST_ResNet-50_BS32_SGD_LR0.001_PMFalse_EP5,MNIST,ResNet-50,32,SGD,0.001,False,5,98.87142857142857,99.0,98.68367346938776,421.80153822898865
MNIST_ResNet-50_BS32_SGD_LR0.001_PMTrue_EP2,MNIST,ResNet-50,32,SGD,0.001,True,2,98.11428571428571,98.02857142857142,96.60408163265306,152.7335503101349
MNIST_ResNet-50_BS32_SGD_LR0.001_PMTrue_EP5,MNIST,ResNet-50,32,SGD,0.001,True,5,98.81428571428572,99.11428571428571,98.73673469387755,371.9793612957001
MNIST_ResNet-50_BS32_SGD_LR0.0001_PMFalse_EP2,MNIST,ResNet-50,32,SGD,0.0001,False,2,49.06428571428572,49.15714285714286,50.518367346938774,174.284441947937
MNIST_ResNet-50_BS32_SGD_LR0.0001_PMFalse_EP5,MNIST,ResNet-50,32,SGD,0.0001,False,5,95.06428571428572,95.11428571428571,91.75102040816327,421.41421699523926
MNIST_ResNet-50_BS32_SGD_LR0.0001_PMTrue_EP2,MNIST,ResNet-50,32,SGD,0.0001,True,2,60.48571428571429,61.44285714285714,50.77142857142857,152.8906455039978
MNIST_ResNet-50_BS32_SGD_LR0.0001_PMTrue_EP5,MNIST,ResNet-50,32,SGD,0.0001,True,5,94.11428571428571,94.12857142857143,90.71020408163265,371.70528864860535
MNIST_ResNet-50_BS32_Adam_LR0.001_PMFalse_EP2,MNIST,ResNet-50,32,Adam,0.001,False,2,95.54285714285714,96.15714285714286,96.56122448979592,179.2144272327423
MNIST_ResNet-50_BS32_Adam_LR0.001_PMFalse_EP5,MNIST,ResNet-50,32,Adam,0.001,False,5,97.63571428571429,97.91428571428571,97.89387755102041,435.05515217781067
MNIST_ResNet-50_BS32_Adam_LR0.001_PMTrue_EP2,MNIST,ResNet-50,32,Adam,0.001,True,2,95.28571428571429,95.67142857142858,96.61020408163266,158.14448165893555
MNIST_ResNet-50_BS32_Adam_LR0.001_PMTrue_EP5,MNIST,ResNet-50,32,Adam,0.001,True,5,97.91428571428571,98.21428571428571,97.78979591836735,385.32640624046326
MNIST_ResNet-50_BS32_Adam_LR0.0001_PMFalse_EP2,MNIST,ResNet-50,32,Adam,0.0001,False,2,97.89285714285714,98.01428571428572,98.14285714285714,181.7106578350067
MNIST_ResNet-50_BS32_Adam_LR0.0001_PMFalse_EP5,MNIST,ResNet-50,32,Adam,0.0001,False,5,98.96428571428571,99.04285714285714,98.7265306122449,436.3625793457031
MNIST_ResNet-50_BS32_Adam_LR0.0001_PMTrue_EP2,MNIST,ResNet-50,32,Adam,0.0001,True,2,98.42142857142858,98.81428571428572,98.16734693877551,158.6896562576294
MNIST_ResNet-50_BS32_Adam_LR0.0001_PMTrue_EP5,MNIST,ResNet-50,32,Adam,0.0001,True,5,99.10714285714286,99.05714285714286,98.8061224489796,386.43714332580566
FashionMNIST_ResNet-18_BS16_SGD_LR0.001_PMFalse_EP2,FashionMNIST,ResNet-18,16,SGD,0.001,False,2,85.01428571428572,84.34285714285714,84.48367346938775,112.71111536026001
